Address;Price per month;Link to the property?
101 McLellan Dr, South San Francisco, CA;2884;https://www.zillow.com/b/south-city-station-south-san-francisco-ca-BSt9fm/
Tudor Hall Apartments, 150 17th St, Oakland, CA 94612;2750;https://www.zillow.com/homedetails/150-17th-St-7F98806DA-Oakland-CA-94612/2062822238_zpid/
NorthPoint Apartments, 2211 Stockton St, San Francisco, CA 94133;2810;https://www.zillow.com/homedetails/2211-Stockton-St-1492387-San-Francisco-CA-94133/2104934304_zpid/
Sterling Berkeley Collection, 2116 Allston Way, Berkeley, CA 94704;2999;https://www.zillow.com/homedetails/2116-Allston-Way-8DD006E1C-Berkeley-CA-94704/2065429032_zpid/
Franciscan, 333 Willow St, Alameda, CA 94501;2395;https://www.zillow.com/homedetails/333-Willow-St-8D8804CC8-Alameda-CA-94501/2066476106_zpid/
1177 Market St, San Francisco, CA;2625;https://www.zillow.com/b/1177-market-at-trinity-place-san-francisco-ca-BNjvdD/
2133 Stockton Street Apartments, 2133 Stockton St, San Francisco, CA 94133;2904;https://www.zillow.com/homedetails/2133-Stockton-St-850951-San-Francisco-CA-94133/2090328932_zpid/
845 Sutter, 845 Sutter St APT 509, San Francisco, CA 94109;2550;https://www.zillow.com/homedetails/845-Sutter-St-APT-509-San-Francisco-CA-94109/2063212400_zpid/
33 8th St, San Francisco, CA;2599;https://www.zillow.com/b/33-8th-at-trinity-place-san-francisco-ca-9NJw4S/
1533 Jackson St, Oakland, CA;1995;https://www.zillow.com/b/jackson-lake-apartments-oakland-ca-5Xk3K7/
Loft 683, 168 Bluxome St, San Francisco, CA 94107;2800;https://www.zillow.com/homedetails/168-Bluxome-St-6A4CEDE12-San-Francisco-CA-94107/2066697538_zpid/
480 Warren Dr, San Francisco, CA;2895;https://www.zillow.com/b/mt.-sutro-san-francisco-ca-5XjVRC/
1190 Mission St, San Francisco, CA;2499;https://www.zillow.com/b/1190-mission-at-trinity-place-san-francisco-ca-5XjVtb/
1411 Alice St, Oakland, CA;2915;https://www.zillow.com/b/alice-house-oakland-ca-BnHnYD/
M B Apartments, 1945 Berkeley Way, Berkeley, CA 94704;2200;https://www.zillow.com/homedetails/1945-Berkeley-Way-87BB4062F-Berkeley-CA-94704/2066753862_zpid/
923 Folsom St, San Francisco, CA;2782;https://www.zillow.com/b/923-folsom-san-francisco-ca-5Yy6Np/
888 Ofarrell St, San Francisco, CA;2149;https://www.zillow.com/b/trinity-towers-apartments-san-francisco-ca-5XjPdR/
SoMa Square, 1 Saint Francis Pl #4-4204, San Francisco, CA 94107;2992;https://www.zillow.com/homedetails/1-Saint-Francis-Pl-4-4204-San-Francisco-CA-94107/2079989386_zpid/
2850 Hannah St, Emeryville, CA;2195;https://www.zillow.com/b/artthaus-hannah-oakland-ca-BPg2b5/
845 California, 845 California St APT 402, San Francisco, CA 94108;2995;https://www.zillow.com/homedetails/845-California-St-APT-402-San-Francisco-CA-94108/2110733619_zpid/
1919 Market St, Oakland, CA;2921;https://www.zillow.com/b/1919-market-oakland-ca-9NThj3/
3093 Broadway, Oakland, CA;2820;https://www.zillow.com/b/the-broadway-oakland-ca-9NTyqy/
La Terrazza, 7800 El Camino Real #1-3133, Daly City, CA 94014;2825;https://www.zillow.com/homedetails/7800-El-Camino-Real-1-3133-Daly-City-CA-94014/2071180327_zpid/
6401 Shellmound St, Emeryville, CA;2474;https://www.zillow.com/b/artistry-emeryville-emeryville-ca-5XjKMV/
Franklin Street Apartments, 1800 Franklin St APT 104, San Francisco, CA 94109;2995;https://www.zillow.com/homedetails/1800-Franklin-St-APT-104-San-Francisco-CA-94109/2082377150_zpid/
Hopkins Park, 1260 Hopkins St, Berkeley, CA 94702;2450;https://www.zillow.com/homedetails/1260-Hopkins-St-93164C3E9-Berkeley-CA-94702/2066480982_zpid/
415 A St, Daly City, CA;2095;https://www.zillow.com/b/hillside-courtyard-daly-city-ca-5XjSFV/
AVA Nob Hill, 965 Sutter St, San Francisco, CA 94109;2620;https://www.zillow.com/homedetails/965-Sutter-St-1D9890527-San-Francisco-CA-94109/2066714923_zpid/
Geary Courtyard, 639 Geary St APT 1402, San Francisco, CA 94102;2627;https://www.zillow.com/homedetails/639-Geary-St-APT-1402-San-Francisco-CA-94102/2118429978_zpid/
Berkeley Park Apartments, 2025 Durant Ave, Berkeley, CA 94704;2695;https://www.zillow.com/homedetails/2025-Durant-Ave-3953519-Berkeley-CA-94704/2062448808_zpid/
425 E 18th St, 425 E 18th St, Oakland, CA 94606;1825;https://www.zillow.com/homedetails/425-E-18th-St-3457918-Oakland-CA-94606/2062456588_zpid/
1755 Van Ness Ave, 1755 Van Ness Ave #308, San Francisco, CA 94109;2900;https://www.zillow.com/homedetails/1755-Van-Ness-Ave-308-San-Francisco-CA-94109/2062493197_zpid/
1380 Ballena Blvd, Alameda, CA;2050;https://www.zillow.com/b/point-alameda-alameda-ca-5XjVSN/
NorthPoint Vistas, 2351 Powell St, San Francisco, CA 94133;3000;https://www.zillow.com/homedetails/2351-Powell-St-762018-San-Francisco-CA-94133/2104934306_zpid/
Astella, 975 Bryant St, San Francisco, CA 94103;2810;https://www.zillow.com/homedetails/975-Bryant-St-3936821-San-Francisco-CA-94103/2062917126_zpid/
50 Golden Gate Ave., 50 Golden Gate Ave, San Francisco, CA 94102;1995;https://www.zillow.com/homedetails/50-Golden-Gate-Ave-4409020-San-Francisco-CA-94102/2062457097_zpid/
791 Kingston, 791 Kingston Ave, Oakland, CA 94611;2995;https://www.zillow.com/homedetails/791-Kingston-Ave-4251640-Oakland-CA-94611/2062421852_zpid/
1525 Clay, 1525 Clay St, San Francisco, CA 94109;2450;https://www.zillow.com/homedetails/1525-Clay-St-4394356-San-Francisco-CA-94109/2062445017_zpid/
1565 Washington, 1565 Washington St, San Francisco, CA 94109;2750;https://www.zillow.com/homedetails/1565-Washington-St-4183116-San-Francisco-CA-94109/2062445064_zpid/
840 Van Ness Ave, San Francisco, CA;2195;https://www.zillow.com/b/840-van-ness-san-francisco-ca-5YCwMj/
990 Geary St, San Francisco, CA;2795;https://www.zillow.com/b/990-geary-san-francisco-ca-5XjSTc/
2333 Channing Way, Berkeley, CA;2695;https://www.zillow.com/b/2333-channing-berkeley-ca-5Xxy2V/
1964 Post, 1964 Post St, San Francisco, CA 94115;2695;https://www.zillow.com/homedetails/1964-Post-St-4251655-San-Francisco-CA-94115/2062384871_zpid/
378 Embarcadero W, Oakland, CA;2809;https://www.zillow.com/b/modera-jack-london-square-oakland-ca-BPfYFB/
1845 Cabrillo, 1845 Cabrillo St, San Francisco, CA 94121;2700;https://www.zillow.com/homedetails/1845-Cabrillo-St-6C17C257D-San-Francisco-CA-94121/2063092087_zpid/
331 Park Plaza Dr, Daly City, CA;2095;https://www.zillow.com/b/westlake-village-apartments-daly-city-ca-5Xk3R3/
1232 E 19th St, Oakland, CA;1760;https://www.zillow.com/b/oakbrook-apartments-oakland-ca-5Xs34f/
Palmcrest Apartments, 1125 E 18th St, Oakland, CA 94606;1605;https://www.zillow.com/homedetails/1125-E-18th-St-35257A0D2-Oakland-CA-94606/2066638376_zpid/
750 Ofarrell St, San Francisco, CA;1795;https://www.zillow.com/b/750-o%27farrell-st-san-francisco-ca-5YXpvZ/
Lake Haven, 386 Euclid Ave #303, Oakland, CA 94610;1570;https://www.zillow.com/homedetails/386-Euclid-Ave-303-Oakland-CA-94610/2062473877_zpid/
396 Pine Hill Rd, Mill Valley, CA;2450;https://www.zillow.com/b/pineridge-mill-valley-apartments-north-bay-mill-valley-ca-5XqgrQ/
775 Geary St, 775 Geary St, San Francisco, CA 94109;2495;https://www.zillow.com/homedetails/775-Geary-St-3457603-San-Francisco-CA-94109/2062457107_zpid/
970 Geary St, 970 Geary St, San Francisco, CA 94109;1995;https://www.zillow.com/homedetails/970-Geary-St-3281031-San-Francisco-CA-94109/2069071852_zpid/
Grosvenor Atrium, 1690 Broadway, San Francisco, CA 94123;2795;https://www.zillow.com/homedetails/1690-Broadway-67C93E3D7-San-Francisco-CA-94123/2063289815_zpid/
530 Brannan St, San Francisco, CA;2535;https://www.zillow.com/b/bennett-lofts-san-francisco-ca-5Xrcx6/
2322 Shattuck Ave, Berkeley, CA;2195;https://www.zillow.com/b/shattuck-apartments-berkeley-ca-5j2gbM/
575 O'Farrell St, 575 Ofarrell St, San Francisco, CA 94102;1945;https://www.zillow.com/homedetails/575-Ofarrell-St-3457624-San-Francisco-CA-94102/2062494385_zpid/
901 Valencia St., 901 Valencia St, San Francisco, CA 94110;2995;https://www.zillow.com/homedetails/901-Valencia-St-3457991-San-Francisco-CA-94110/2062452354_zpid/
2024 University Ave, Berkeley, CA;2200;https://www.zillow.com/b/uc-studios-berkeley-ca-9hbGJK/
952 Sutter St, San Francisco, CA;2620;https://www.zillow.com/b/952-sutter-st.-san-francisco-ca-5XjxLz/
666 Ofarrell St, San Francisco, CA;2095;https://www.zillow.com/b/666-o%27farrell-st-san-francisco-ca-5XsQ3r/
4901 Broadway, Oakland, CA;2403;https://www.zillow.com/b/baxter-on-broadway-oakland-ca-9NTznz/
184 13th St, Oakland, CA;2095;https://www.zillow.com/b/la-peralta-oakland-ca-5dxBtP/
363 6th St, San Francisco, CA;2590;https://www.zillow.com/b/363-6th-st-san-francisco-ca-9NJwC2/
1489 Webster St, San Francisco, CA;2400;https://www.zillow.com/b/webster-tower-and-terrace-san-francisco-ca-5Xk3Sh/
1677 Bush, 1677 Bush St, San Francisco, CA 94109;2995;https://www.zillow.com/homedetails/1677-Bush-St-4183131-San-Francisco-CA-94109/2062445035_zpid/
2350 Union St., 2350 Union St, San Francisco, CA 94123;2595;https://www.zillow.com/homedetails/2350-Union-St-3889755-San-Francisco-CA-94123/2062665219_zpid/
830 Eddy St, San Francisco, CA;2431;https://www.zillow.com/b/vance-san-francisco-ca-9NKJBx/
45 Brosnan, 45 Brosnan St, San Francisco, CA 94103;2795;https://www.zillow.com/homedetails/45-Brosnan-St-4183099-San-Francisco-CA-94103/2062445008_zpid/
718 Clay St, Oakland, CA;2095;https://www.zillow.com/b/718-clay-street-apartments-oakland-ca-9NTkGR/
2 Guerrero St, San Francisco, CA;2495;https://www.zillow.com/b/2-guerrero-st-san-francisco-ca-5XqkPV/
421 25th St, Oakland, CA;2232;https://www.zillow.com/b/monogram-oakland-ca-C4kTFS/
585 Macarthur Blvd, Oakland, CA;1950;https://www.zillow.com/b/585-macarthur-blvd-oakland-ca-5XrGmW/
2 bed, $2,895, 1130 Bancroft Way APT C, Berkeley, CA 94702;2895;https://www.zillow.com/homedetails/1130-Bancroft-Way-APT-C-Berkeley-CA-94702/2097500162_zpid/
230 Oak St #21, San Francisco, CA 94102;2995;https://www.zillow.com/homedetails/230-Oak-St-21-San-Francisco-CA-94102/2062379208_zpid/
690 18th St #B, Oakland, CA 94612;1725;https://www.zillow.com/homedetails/690-18th-St-B-Oakland-CA-94612/2062377265_zpid/
1 bed, $2,295, 64 Langton St, San Francisco, CA 94103;2595;https://www.zillow.com/homedetails/64-Langton-St-San-Francisco-CA-94103/2093103429_zpid/
1 bed, $2,400, 731-747 Commercial St #5, San Francisco, CA 94108;2400;https://www.zillow.com/homedetails/731-747-Commercial-St-5-San-Francisco-CA-94108/2062377164_zpid/
1 bed, $2,300, 2598 43rd Ave APT 2, San Francisco, CA 94116;2300;https://www.zillow.com/homedetails/2598-43rd-Ave-APT-2-San-Francisco-CA-94116/2062377166_zpid/
736 Washington St, San Francisco, CA;2295;https://www.zillow.com/b/736-washington-st-san-francisco-ca-9NKB3C/
1002 E 23rd St UNIT 3, Oakland, CA 94606;1831;https://www.zillow.com/homedetails/1002-E-23rd-St-UNIT-3-Oakland-CA-94606/2062377747_zpid/
4521 17th St APT 3, San Francisco, CA 94114;2850;https://www.zillow.com/homedetails/4521-17th-St-APT-3-San-Francisco-CA-94114/2071179111_zpid/
1 bed, 541 sqft, $2,600, 175-177 Pfeiffer St #4, San Francisco, CA 94133;2600;https://www.zillow.com/homedetails/175-177-Pfeiffer-St-4-San-Francisco-CA-94133/2062379112_zpid/
2519 Crist St, Alameda, CA 94501;2800;https://www.zillow.com/homedetails/2519-Crist-St-Alameda-CA-94501/24859115_zpid/
1 bed, $2,600, 2215-2227 Cedar St, Berkeley, CA 94709;2600;https://www.zillow.com/homedetails/2215-2227-Cedar-St-Berkeley-CA-94709/2062389714_zpid/
2275 19th Ave APT 5, San Francisco, CA 94116;2900;https://www.zillow.com/homedetails/2275-19th-Ave-APT-5-San-Francisco-CA-94116/2081052441_zpid/
200 Guerrero St #215, San Francisco, CA 94103;2950;https://www.zillow.com/homedetails/200-Guerrero-St-215-San-Francisco-CA-94103/2062392562_zpid/
1763 7th Ave APT 3, San Francisco, CA 94122;2500;https://www.zillow.com/homedetails/1763-7th-Ave-APT-3-San-Francisco-CA-94122/2106953728_zpid/
416 Hoffman Ave, San Francisco, CA 94114;2495;https://www.zillow.com/homedetails/416-Hoffman-Ave-San-Francisco-CA-94114/325646206_zpid/
1 bed, 534 sqft, $2,895, 1402 Kearny St APT 1, San Francisco, CA 94133;2895;https://www.zillow.com/homedetails/1402-Kearny-St-APT-1-San-Francisco-CA-94133/2085511235_zpid/
1445 Lyon St APT 3, San Francisco, CA 94115;2575;https://www.zillow.com/homedetails/1445-Lyon-St-APT-3-San-Francisco-CA-94115/2062391189_zpid/
1 bed, 730 sqft, $1,945, 1802 10th St, Berkeley, CA 94710;2188;https://www.zillow.com/homedetails/1802-10th-St-Berkeley-CA-94710/2095366627_zpid/
1053 48th St #B, Emeryville, CA 94608;2600;https://www.zillow.com/homedetails/1053-48th-St-B-Emeryville-CA-94608/2123483963_zpid/
3001 Deakin St, Berkeley, CA;2950;https://www.zillow.com/b/3001-deakin-st,-berkeley-ca-9NVMz2/
6400 Christie Ave, Emeryville, CA;2150;https://www.zillow.com/b/bridgewater-emeryville-ca-5XjV74/
1305 Adeline St #2, Oakland, CA 94607;3000;https://www.zillow.com/homedetails/1305-Adeline-St-2-Oakland-CA-94607/2064183999_zpid/
2 bed, $3,000, 1936 Blake St APT 24, Berkeley, CA 94704;3000;https://www.zillow.com/homedetails/1936-Blake-St-APT-24-Berkeley-CA-94704/2094512916_zpid/
2016 Blake St, Berkeley, CA;2250;https://www.zillow.com/b/2016-blake-street-berkeley-ca-5cDKKk/
6363 Christie Ave, Emeryville, CA;2050;https://www.zillow.com/b/6363-christie-ave-emeryville-ca-5XkDpY/
480 55th St APT B, Oakland, CA 94609;2550;https://www.zillow.com/homedetails/480-55th-St-APT-B-Oakland-CA-94609/2065751501_zpid/
2401 Sacramento St APT 1, San Francisco, CA 94115;2750;https://www.zillow.com/homedetails/2401-Sacramento-St-APT-1-San-Francisco-CA-94115/2110855271_zpid/
2130 Cabrillo St, San Francisco, CA 94121;2750;https://www.zillow.com/homedetails/2130-Cabrillo-St-San-Francisco-CA-94121/2083961128_zpid/
1461 Alice St, Oakland, CA;1745;https://www.zillow.com/b/1461-alice-st-oakland-ca-5XjKQS/
69 Whitney St APT D, San Francisco, CA 94131;2780;https://www.zillow.com/homedetails/69-Whitney-St-APT-D-San-Francisco-CA-94131/2062379965_zpid/
2100 Santa Clara Ave, Alameda, CA;2200;https://www.zillow.com/b/2100-santa-clara-ave-alameda-ca-9NMjgx/
1727 Bridgeway, Sausalito, CA 94965;2500;https://www.zillow.com/homedetails/1727-Bridgeway-Sausalito-CA-94965/2062384607_zpid/
2142 Alameda Ave #C, Alameda, CA 94501;1700;https://www.zillow.com/homedetails/2142-Alameda-Ave-C-Alameda-CA-94501/2062383511_zpid/
1805 9th Ave, Oakland, CA 94606;2795;https://www.zillow.com/homedetails/1805-9th-Ave-Oakland-CA-94606/24759370_zpid/
351 Hanover Ave APT 302, Oakland, CA 94606;2200;https://www.zillow.com/homedetails/351-Hanover-Ave-APT-302-Oakland-CA-94606/2085854214_zpid/
1634 33rd Ave, San Francisco, CA 94122;2595;https://www.zillow.com/homedetails/1634-33rd-Ave-San-Francisco-CA-94122/15108861_zpid/
373 San Jose Ave #A, San Francisco, CA 94110;2525;https://www.zillow.com/homedetails/373-San-Jose-Ave-A-San-Francisco-CA-94110/2077293821_zpid/
1 bed, $2,250, 1801 Rose St APT 5, Berkeley, CA 94703;2250;https://www.zillow.com/homedetails/1801-Rose-St-APT-5-Berkeley-CA-94703/2096912308_zpid/
870 Harrison St UNIT 201, San Francisco, CA 94107;2695;https://www.zillow.com/homedetails/870-Harrison-St-UNIT-201-San-Francisco-CA-94107/2096704486_zpid/
1121 Bush St, San Francisco, CA;2450;https://www.zillow.com/b/San-Francisco-CA/37.788982,-122.41575_ll/
901 Jefferson St APT 215, Oakland, CA 94607;2750;https://www.zillow.com/homedetails/901-Jefferson-St-APT-215-Oakland-CA-94607/333759779_zpid/
1221 40th St FLOOR 2-ID597, Emeryville, CA 94608;2930;https://www.zillow.com/homedetails/1221-40th-St-FLOOR-2-ID597-Emeryville-CA-94608/2067553973_zpid/
1930 12th Ave APT 311, Oakland, CA 94606;1718;https://www.zillow.com/homedetails/1930-12th-Ave-APT-311-Oakland-CA-94606/2062440188_zpid/
2 bed, 800 sqft, $2,495, 274 Park View Ter APT 1, Oakland, CA 94610;2495;https://www.zillow.com/homedetails/274-Park-View-Ter-APT-1-Oakland-CA-94610/2087640856_zpid/
1433 Spruce St, Berkeley, CA 94709;2200;https://www.zillow.com/homedetails/1433-Spruce-St-Berkeley-CA-94709/299074215_zpid/
2059 Market St #20, San Francisco, CA 94114;2450;https://www.zillow.com/homedetails/2059-Market-St-20-San-Francisco-CA-94114/2062377180_zpid/
2012 Grant St APT 4, Berkeley, CA 94703;2250;https://www.zillow.com/homedetails/2012-Grant-St-APT-4-Berkeley-CA-94703/2084861244_zpid/
885 Franklin St APT 203, San Francisco, CA 94102;2695;https://www.zillow.com/homedetails/885-Franklin-St-APT-203-San-Francisco-CA-94102/2062419573_zpid/
2910 Hillegass Ave APT 4, Berkeley, CA 94705;2700;https://www.zillow.com/homedetails/2910-Hillegass-Ave-APT-4-Berkeley-CA-94705/24829617_zpid/
222 Broadway APT 612, Oakland, CA 94607;3000;https://www.zillow.com/homedetails/222-Broadway-APT-612-Oakland-CA-94607/94686157_zpid/
1 bed, 520 sqft, $2,150, 1315 Dwight Way APT J, Berkeley, CA 94702;2150;https://www.zillow.com/homedetails/1315-Dwight-Way-APT-J-Berkeley-CA-94702/2083248016_zpid/
(undisclosed Address), Berkeley, CA 94708;2400;https://www.zillow.com/homedetails/Berkeley-CA-94708/24844525_zpid/
1 bed, $1,995, 1829 6th Ave #205, Oakland, CA 94606;1995;https://www.zillow.com/homedetails/1829-6th-Ave-205-Oakland-CA-94606/2077289728_zpid/
1 bed, 711 sqft, $2,395, 1455 Clay St APT 5, San Francisco, CA 94109;2395;https://www.zillow.com/homedetails/1455-Clay-St-APT-5-San-Francisco-CA-94109/2075619273_zpid/
411 Fairmount Ave, Oakland, CA;1945;https://www.zillow.com/b/411-fairmount-ave-oakland-ca-5YtYdS/
2 bed, 875 sqft, $2,095, 864 34th St APT 4, Oakland, CA 94608;2095;https://www.zillow.com/homedetails/864-34th-St-APT-4-Oakland-CA-94608/2101538219_zpid/
67 Glen Ave, Oakland, CA;2795;https://www.zillow.com/b/glen-oakland-ca-5XnNQB/
306 Lee St, Oakland, CA;2295;https://www.zillow.com/b/the-bel-aire-courtyard-apartments-oakland-ca-5XqyHC/
2715 West St, Oakland, CA 94612;1995;https://www.zillow.com/homedetails/2715-West-St-Oakland-CA-94612/2100682164_zpid/
901 Stanyan St #A, San Francisco, CA 94117;2300;https://www.zillow.com/homedetails/901-Stanyan-St-A-San-Francisco-CA-94117/2077916342_zpid/
1 bed, $1,995, 527 1/2 59th St #10122737, Oakland, CA 94609;1995;https://www.zillow.com/homedetails/527-1-2-59th-St-10122737-Oakland-CA-94609/2070309691_zpid/
200 2nd St UNIT 506, Oakland, CA 94607;2400;https://www.zillow.com/homedetails/200-2nd-St-UNIT-506-Oakland-CA-94607/79542957_zpid/
1081 12th St #B, Oakland, CA 94607;2195;https://www.zillow.com/homedetails/1081-12th-St-B-Oakland-CA-94607/2096340434_zpid/
56 Neptune St, San Francisco, CA;1395;https://www.zillow.com/b/56-neptune-st-san-francisco-ca-9NLgmV/
1918 16th Ave #5, Oakland, CA 94606;1950;https://www.zillow.com/homedetails/1918-16th-Ave-5-Oakland-CA-94606/2062462251_zpid/
1128 Bella Vista Ave #C, Oakland, CA 94610;2500;https://www.zillow.com/homedetails/1128-Bella-Vista-Ave-C-Oakland-CA-94610/2062534631_zpid/
1819 7th Ave #10, Oakland, CA 94606;1750;https://www.zillow.com/homedetails/1819-7th-Ave-10-Oakland-CA-94606/2066554674_zpid/
850 Oak St #8, San Francisco, CA 94117;2000;https://www.zillow.com/homedetails/850-Oak-St-8-San-Francisco-CA-94117/2062404194_zpid/
801 53rd St #4, Emeryville, CA 94608;2200;https://www.zillow.com/homedetails/801-53rd-St-4-Emeryville-CA-94608/2076709077_zpid/
1909 Tenth St, Berkeley, CA 94710, 1909 10th St #B, Berkeley, CA 94710;2849;https://www.zillow.com/homedetails/1909-10th-St-B-Berkeley-CA-94710/2066435632_zpid/
1 bed, $2,995, 2440 Fillmore St #4, San Francisco, CA 94115;2995;https://www.zillow.com/homedetails/2440-Fillmore-St-4-San-Francisco-CA-94115/2077578156_zpid/
1000 Franklin St APT 207, San Francisco, CA 94109;2700;https://www.zillow.com/homedetails/1000-Franklin-St-APT-207-San-Francisco-CA-94109/2077359904_zpid/
601 Stockton Street - 8, 601 Stockton St APT 8, San Francisco, CA 94108;2995;https://www.zillow.com/homedetails/601-Stockton-St-APT-8-San-Francisco-CA-94108/2069848985_zpid/
180 Montecito Ave #305, Oakland, CA 94610;2795;https://www.zillow.com/homedetails/180-Montecito-Ave-305-Oakland-CA-94610/2062619227_zpid/
4627 Shattuck Ave #B, Oakland, CA 94609;2800;https://www.zillow.com/homedetails/4627-Shattuck-Ave-B-Oakland-CA-94609/2099754943_zpid/
2 bed, $1,900, 1860 E 25th St #F, Oakland, CA 94606;1900;https://www.zillow.com/homedetails/1860-E-25th-St-F-Oakland-CA-94606/2067586655_zpid/
6230 3rd St, San Francisco, CA 94124;3000;https://www.zillow.com/homedetails/6230-3rd-St-San-Francisco-CA-94124/2115429471_zpid/
3312A Balboa St, San Francisco, CA 94121;2980;https://www.zillow.com/homedetails/3312A-Balboa-St-San-Francisco-CA-94121/2066366906_zpid/
601 Van Ness Ave, San Francisco, CA;2250;https://www.zillow.com/b/601-van-ness-ave-san-francisco-ca-5XkGN9/
2167 Otis Dr APT 112, Alameda, CA 94501;2400;https://www.zillow.com/homedetails/2167-Otis-Dr-APT-112-Alameda-CA-94501/2091884011_zpid/
